ThroughputMicro,Latency5Micro,LatencyMedMicro,Latency95Micro,SLO600Micro,SLO1000Micro,ThroughputMono,Latency5Mono,LatencyMedMono,Latency95Mono
5.98,   234,    312, 571,   4,   0.5,      4,     282,        368,    624
7.96,	257.95, 353, 631,   6.4,   0.2,      5.98,   275.95,     393,    824.2
9.94,   267.95, 384, 673,   9.2,   0.3,      7.96,   284.95,     455,    1005.15
11.9,	276	,   421, 732,   14.4,   0.7,      9.93,   324,        617,    1246
13.85,	311	,   467, 800,   21.7,   0.9,      11.89,  349.95,     813,    1400
15.75,	321	,   499, 836,   27.7,   1.8,      12.82,  512.95,    1054,    1731
17.65,  344	,   541, 890,   35.5,   2.5,   13.59,  406,        1200,    2351
19.48,	360	,   573, 935,   44,     2.4,   13.82, 1151.4,      4505,   11124
21.27,  402	,   638, 1004,  58.1,   5.3
22.67,  654.85, 1347, 2766,  96.7,   74


						
