ThroughputMicro,Latency5Micro,LatencyMedMicro,Latency95Micro,ThroughputMono,Latency5Mono,LatencyMedMono,Latency95Mono
15.71,	296.95,    416,     699,    7.95,   279,   320,    779
19.48,	308,       443,     739,    11.87,    288,    435,    990
22.9,	320,        481,    800,    15.72,    283,      533,    1332
25.8,	337,        507,    838,    19.01,    312.95,   803,    1857
27.97,	360.95,     538,    876,    22.23,    394.95,   1336,   2452
35.22,	395.95,     614,    987,    23.66,    620.95,   1808,   3166
38.61,	478.95,     754,    1246,   23.79,    1252.95,  3479,   7937
40.59,  589,        976,    1719,   23.54,    1295.8,   5131,   11266
