ThroughputMicro,Latency5Micro,LatencyMedMicro,Latency95Micro,SLO600Micro,SLO1000Micro,ThroughputMono,Latency5Mono,LatencyMedMono,Latency95Mono
5.98,   211.647,    278.964, 495.565,   1.83,   0,   2.98,   217.9,     322.3,  491.2
7.96,	215.674,    281.295, 501.879,   1.61,   0,   5.97,   234.358, 315.268, 504.692
9.95,   215.17,     282.396, 506.305,   1.44,   0,   7.965,  237.878,    315.853,    530.089 
11.9,	217.288,   288.307, 508.936,    1.89,   0,    9.919,  242.257,    329.631,    596.058 
13.9,	253.214,   337.407, 554.342,    3.05,   0.44, 11.868, 264.295,    411.991,    1013.325 
15.87,	252.716,  352.223, 564.838,     3.44,   0,    13.76,  449.165,    837.371,    2392.86 
17.83,  257.264,   365.917, 718.062,    9.38,   1.67, 14.118, 976.849,    2691.273,   6921.378
19.80,	260.84,     385.267	, 780.999,  13.16,  1.61
21.95,  276.607,   429.505, 952.048,    23.38,  3.72
23.503, 308.306,    553.162	, 1493.59,  44.53,  18.88
24.478, 438.3,      2135.075,4073.829,  90.84,  75.24



