ThroughputMicro,Latency5Micro,LatencyMedMicro,Latency95Micro,ThroughputMono,Latency5Mono,LatencyMedMono,Latency95Mono
15.867,	256.847,    350.81,     570.916,    15.861,     245.104,  317.815,   544.027    
19.789,	253.4685,   356.544,    600.399,    19.787,     252.807, 345.751,   654.574
23.682,	263.703,    376.557,    644.154,    23.524,     393.054,  662.976,  1520.888
27.57,	274.423,    392.562,    822.142,    25.938,    897.26,  2578.649,    4895.537
31.36,	289.393,    411.215,    835.254,    25.498,   1623.305,  6775.796,   12342.356
35.258,	294.102,    429.659,    1107.967
39.038,	314.49,     464.112,    1340.189
41.696,	341.997,    666.682,    2176.558
41.537,	513.444,    2075.149,   4400.847
42.259, 833.919,    2504.467,   5510.436

