ThroughputMicro,Latency5Micro,LatencyMedMicro,Latency95Micro,ThroughputMono,Latency5Mono,LatencyMedMono,Latency95Mono
31.41, 67.0 , 70.32,74.355,31.463,57.1,58.55,61.23
53.759,61.0,65.0,70.0,53.832,55.0,57.0,60.0
64.264,63.0,66.0,73.0,64.151,55.0,57.0,60.0
73.862,63.0,67.0,74.0,73.791,94.0,103.0,149.0
81.182,63.0,68.0,79.0,80.853,94.0,104.0,152.0
90.32,66.0,74.0,107.0,90.256,132.0,179.5,240.0
99.049,93.0,102.0,152.0,98.535,282.0,402.0,529.0
109.088,122.0,178.0,273.0,102.72,354.22,547.43,799.49
112.712,150.0,209.0,363.55,104.805,557,1061,1727
116.009,257.45,447.0,1213.55
