ThroughputMicro,Latency5Micro,LatencyMedMicro,Latency95Micro,ThroughputMono,Latency5Mono,LatencyMedMono,Latency95Mono
61.983,63.0,69.0,78.0,31.715,73.0,75.0,82.0
131.805,64.0,69.0,79.0,94.789,55.0,57.0,60.0
147.187,64.0,69.0,81.0,130.614,95.0,105.0,152.0
163.943,90.0,97.0,155.0,147.562,95.0,141.0,189.0
179.32,92.0,119.0,155.0,163.303,171.0,260.0,425.0
202.797,239.0,331.0,448.0,178.377,338.0,534.0,790.0
215.659,410.0,586.0,938.05,181.969,644.95,1593.0,2777.0
218.033,643.0,1752.0,2707.0,182.228,836.95,2863.5,4799.05
