ThroughputMicro,Latency5Micro,LatencyMedMicro,Latency95Micro,ThroughputMono,Latency5Mono,LatencyMedMono,Latency95Mono
46.711,	    74.774,     80.393,     88.418
54.738,	    79.197,     84.983,     97.258
61.445,	    81.122,     92.428,     156.378
66.881,	    81.666,     91.644,    133.129
73.841,	    90.389,     113.859,    197.613
77.168,	    82.943,     94.342,     130.792
91.346,	    112.828,    138.827,    240.466
99.538,	    125.699,    193.189,    325.451
105.325,    179.643,    236.947,    346.922
109.359,    212.79,     390.823,    703.648
114.985,    306.954,    758.611,    1442.706
